expense_id,expense_date,expense_category,department,amount
E10072,2025-05-15,Infrastructure,Technology,116892.45
E10073,2025-08-15,Logistics,Operations,31643.26
E10074,2026-08-07,Logistics,Operations,98246.79
E10075,2025-07-27,Salaries,HR,124023.78
E10076,2025-05-07,Technology,Technology,34615.09
E10077,2025-09-11,Infrastructure,Technology,91024.59
E10078,2025-05-27,Operations,Operations,33505.73
E10079,2026-01-01,Logistics,Operations,145249.09
E10080,2025-03-17,Marketing,Marketing,26949.23
E10081,2026-04-14,Operations,Operations,104335.22
E10082,2025-08-15,Operations,Operations,34667.88
E10083,2026-08-05,Customer Support,Support,59865.61
E10084,2025-07-12,Technology,Technology,66913.21
E10085,2025-08-20,Salaries,HR,14260.39
E10086,2025-11-07,Customer Support,Support,139076.87
E10087,2025-10-17,Operations,Operations,63076.01
E10088,2025-10-18,Salaries,HR,26969.07
E10089,2025-12-18,Operations,Operations,95918.16
E10090,2026-06-09,Infrastructure,Technology,4362.57
E10091,2025-02-26,Logistics,Operations,79246.53
E10092,2025-10-23,Marketing,Marketing,6764.53
E10093,2025-05-27,Logistics,Operations,94509.87
E10094,2025-01-17,Marketing,Marketing,52116.05
E10095,2025-08-16,Technology,Technology,103941.75
E10096,2025-04-20,Operations,Operations,31392.95
E10097,2026-02-18,Marketing,Marketing,92926.69
E10098,2026-04-18,Infrastructure,Technology,36692.89
E10099,2026-03-27,Infrastructure,Technology,123002.4
E10100,2025-04-21,Operations,Operations,31388.87
E10101,2025-12-06,Infrastructure,Technology,44113.37
E10102,2025-08-17,Customer Support,Support,44810.53
E10103,2026-06-06,Logistics,Operations,97054.69
E10104,2026-02-14,Infrastructure,Technology,10953.21
E10105,2025-06-27,Logistics,Operations,115475.1
E10106,2026-03-08,Marketing,Marketing,56806.22
E10107,2026-08-04,Salaries,HR,45800.49
E10108,2025-01-31,Infrastructure,Technology,43602.88
E10109,2026-07-16,Operations,Operations,102629.02
E10110,2026-05-22,Technology,Technology,34874.31
E10111,2025-12-21,Marketing,Marketing,97687.99
E10112,2025-08-06,Salaries,HR,71255.56
E10113,2026-01-21,Operations,Operations,101935.45
E10114,2025-06-07,Technology,Technology,76800.43
E10115,2026-07-13,Marketing,Marketing,147744.98
E10116,2026-04-09,Marketing,Marketing,124029.56
E10117,2025-04-30,Infrastructure,Technology,103860.19
E10118,2025-02-27,Marketing,Marketing,85646.22
E10119,2025-11-10,Salaries,HR,29558.39
E10120,2026-01-20,Marketing,Marketing,52653.28
E10121,2025-11-11,Salaries,HR,143685.47
E10122,2025-12-30,Salaries,HR,15660.89
E10123,2025-03-19,Salaries,HR,105484.37
E10124,2025-01-21,Marketing,Marketing,30616.81
E10125,2025-01-27,Operations,Operations,120129.75
E10126,2025-03-04,Logistics,Operations,44723.93
E10127,2026-07-07,Technology,Technology,29571.34
E10128,2025-08-30,Customer Support,Support,128663.26
E10129,2025-11-05,Logistics,Operations,4977.05
E10130,2026-01-29,Technology,Technology,116570.23
E10131,2026-02-21,Logistics,Operations,97806.17
E10132,2025-02-27,Operations,Operations,109903.09
E10133,2026-05-21,Salaries,HR,119190.32
E10134,2025-03-22,Operations,Operations,127674.09
E10135,2025-09-24,Customer Support,Support,84599.68
E10136,2026-04-17,Infrastructure,Technology,101486.96
E10137,2025-12-14,Infrastructure,Technology,106994.78
E10138,2025-04-22,Marketing,Marketing,82633.82
E10139,2025-07-15,Customer Support,Support,36734.53
E10140,2026-04-04,Infrastructure,Technology,47933.5
E10141,2025-02-15,Infrastructure,Technology,107902.82
E10142,2025-07-25,Customer Support,Support,33857.23
E10143,2026-05-26,Infrastructure,Technology,99408.85
E10144,2025-08-21,Salaries,HR,30492.85
E10145,2026-06-08,Customer Support,Support,9902.82
E10146,2025-02-04,Salaries,HR,149932.19
E10147,2025-03-18,Operations,Operations,114491.95
E10148,2026-07-13,Marketing,Marketing,52315.33
E10149,2026-07-19,Operations,Operations,29653.12
E10150,2026-05-20,Technology,Technology,63939.42
E10151,2025-09-05,Infrastructure,Technology,18365.6
E10152,2025-01-24,Infrastructure,Technology,125044.27
E10153,2025-05-16,Technology,Technology,34271.98
E10154,2026-04-25,Salaries,HR,47315.63
E10155,2025-06-12,Operations,Operations,24249.98
E10156,2026-03-19,Technology,Technology,71065.23
E10157,2026-06-02,Operations,Operations,36440.08
E10158,2026-01-22,Infrastructure,Technology,122209.44
E10159,2025-03-22,Operations,Operations,47439.71
E10160,2025-07-25,Salaries,HR,29771.54
E10161,2026-01-03,Marketing,Marketing,42408.88
E10162,2025-03-15,Technology,Technology,148950.64
E10163,2025-02-11,Salaries,HR,148067.91
E10164,2025-06-10,Infrastructure,Technology,57715.69
E10165,2026-03-01,Customer Support,Support,88703.77
E10166,2025-05-10,Operations,Operations,121790.32
E10167,2025-01-24,Infrastructure,Technology,61798.93
E10168,2026-05-23,Logistics,Operations,59471.08
E10169,2025-05-10,Infrastructure,Technology,75560.32
E10170,2025-06-02,Salaries,HR,138075.99
E10171,2026-06-09,Marketing,Marketing,139642.66
E10172,2025-06-17,Salaries,HR,30764.93
E10173,2026-06-09,Salaries,HR,54398.61
E10174,2025-11-13,Technology,Technology,12131.76
E10175,2025-08-06,Operations,Operations,12126.58
E10176,2025-03-29,Salaries,HR,21047.94
E10177,2026-02-08,Customer Support,Support,149785.97
E10178,2026-07-26,Operations,Operations,105123.05
E10179,2026-04-09,Infrastructure,Technology,131041.38
E10180,2025-12-09,Operations,Operations,46119.12
E10181,2025-04-20,Logistics,Operations,58416.86
E10182,2025-06-13,Customer Support,Support,63863.8
E10183,2025-10-24,Salaries,HR,68197.37
E10184,2026-02-04,Infrastructure,Technology,54153.64
E10185,2025-01-21,Customer Support,Support,29702.33
E10186,2025-07-24,Marketing,Marketing,83966.75
E10187,2026-01-29,Infrastructure,Technology,98236.43
E10188,2026-06-19,Operations,Operations,60609.65
E10189,2026-07-29,Marketing,Marketing,31423.3
E10190,2025-07-28,Customer Support,Support,88716.0
E10191,2025-08-24,Operations,Operations,74212.11
E10192,2026-01-12,Salaries,HR,85864.8
E10193,2026-06-19,Customer Support,Support,18127.13
E10194,2025-11-09,Technology,Technology,91131.29
E10195,2025-01-01,Customer Support,Support,15720.86
E10196,2025-03-26,Logistics,Operations,13054.07
E10197,2026-01-09,Salaries,HR,97189.4
E10198,2025-12-19,Infrastructure,Technology,147216.72
E10199,2025-10-04,Customer Support,Support,11688.17
E10200,2025-10-05,Salaries,HR,4296.26
E10201,2025-10-15,Marketing,Marketing,130644.66
E10202,2025-08-05,Salaries,HR,37536.03
E10203,2025-12-09,Operations,Operations,68374.9
E10204,2026-04-10,Customer Support,Support,138098.19
E10205,2026-03-02,Marketing,Marketing,54907.06
E10206,2025-12-28,Infrastructure,Technology,33747.73
E10207,2026-02-25,Infrastructure,Technology,30053.92
E10208,2026-03-27,Infrastructure,Technology,52765.24
E10209,2025-02-25,Salaries,HR,73748.29
E10210,2025-03-23,Customer Support,Support,95056.58
E10211,2025-10-14,Salaries,HR,34427.66
E10212,2025-12-21,Logistics,Operations,101875.74
E10213,2025-01-05,Technology,Technology,30671.55
E10214,2025-10-17,Technology,Technology,89669.67
E10215,2025-08-31,Technology,Technology,108969.2
E10216,2026-04-10,Technology,Technology,104173.96
E10217,2026-06-11,Technology,Technology,108880.01
E10218,2025-06-11,Operations,Operations,48812.48
E10219,2025-03-04,Marketing,Marketing,82565.54
E10220,2025-01-30,Salaries,HR,33417.39
E10221,2025-12-21,Logistics,Operations,11733.09
E10222,2025-03-29,Customer Support,Support,104999.09
E10223,2025-08-30,Marketing,Marketing,54955.08
E10224,2025-01-28,Infrastructure,Technology,42135.75
E10225,2026-03-29,Salaries,HR,33867.57
E10226,2025-01-19,Infrastructure,Technology,110047.31
E10227,2025-12-27,Marketing,Marketing,77141.84
E10228,2025-12-24,Infrastructure,Technology,26556.28
E10229,2025-03-15,Operations,Operations,4819.78
E10230,2026-07-20,Logistics,Operations,48661.72
E10231,2026-06-05,Technology,Technology,135758.78
E10232,2026-07-06,Operations,Operations,57277.69
E10233,2026-06-22,Salaries,HR,31688.77
E10234,2025-04-14,Customer Support,Support,100415.59
E10235,2026-07-01,Infrastructure,Technology,122058.27
E10236,2025-11-25,Operations,Operations,133250.0
E10237,2025-02-04,Logistics,Operations,13386.65
E10238,2025-07-26,Logistics,Operations,6576.32
E10239,2025-02-05,Marketing,Marketing,114061.4
E10240,2025-04-20,Logistics,Operations,117418.77
E10241,2025-04-25,Operations,Operations,82600.91
E10242,2026-06-29,Technology,Technology,20087.74
E10243,2026-06-17,Logistics,Operations,126195.32
E10244,2026-08-03,Logistics,Operations,133832.27
E10245,2025-07-02,Customer Support,Support,131300.33
E10246,2025-04-13,Marketing,Marketing,83947.04
E10247,2025-08-20,Infrastructure,Technology,83505.36
E10248,2025-08-17,Marketing,Marketing,118921.5
E10249,2026-02-03,Salaries,HR,66096.33
E10250,2026-06-01,Logistics,Operations,89523.34
E10251,2026-01-14,Logistics,Operations,105918.07
E10252,2025-11-08,Operations,Operations,47483.4
E10253,2025-01-03,Technology,Technology,121969.46
E10254,2026-06-27,Marketing,Marketing,23767.34
E10255,2025-07-30,Logistics,Operations,78297.32
E10256,2025-01-13,Technology,Technology,81397.69
E10257,2025-01-16,Technology,Technology,19704.34
E10258,2026-05-04,Operations,Operations,50585.68
E10259,2025-07-10,Logistics,Operations,89987.85
E10260,2025-06-25,Technology,Technology,53782.19
E10261,2025-05-28,Operations,Operations,82875.26
E10262,2025-10-07,Technology,Technology,22273.44
E10263,2025-06-15,Customer Support,Support,130139.09
E10264,2026-04-27,Logistics,Operations,94813.07
E10265,2026-06-07,Salaries,HR,48398.17
E10266,2025-12-07,Operations,Operations,107940.92
E10267,2025-05-22,Logistics,Operations,68634.86
E10268,2025-04-29,Salaries,HR,64845.46
E10269,2026-04-07,Salaries,HR,9645.56
E10270,2026-08-04,Infrastructure,Technology,27456.34
E10271,2025-10-15,Logistics,Operations,94613.78
E10272,2026-02-21,Infrastructure,Technology,101522.65
E10273,2026-03-05,Marketing,Marketing,56690.88
E10274,2026-05-03,Marketing,Marketing,13804.55
E10275,2025-09-05,Marketing,Marketing,22331.28
E10276,2025-10-02,Logistics,Operations,121310.87
E10277,2026-05-07,Technology,Technology,125978.42
E10278,2026-07-03,Infrastructure,Technology,4488.61
E10279,2025-05-15,Marketing,Marketing,49563.06
E10280,2025-09-15,Marketing,Marketing,148449.17
E10281,2026-04-05,Salaries,HR,123686.48
E10282,2025-11-13,Customer Support,Support,30552.74
E10283,2025-03-18,Salaries,HR,76387.89
E10284,2025-03-10,Marketing,Marketing,129076.15
E10285,2025-08-22,Marketing,Marketing,85324.72
E10286,2025-11-29,Customer Support,Support,34835.48
E10287,2025-09-08,Logistics,Operations,133579.4
E10288,2026-02-23,Logistics,Operations,142229.03
E10289,2025-08-27,Salaries,HR,93754.63
E10290,2025-07-15,Technology,Technology,41970.05
E10291,2025-04-16,Salaries,HR,139852.16
E10292,2026-08-05,Infrastructure,Technology,31029.78
E10293,2025-10-22,Logistics,Operations,15883.91
E10294,2026-03-17,Logistics,Operations,66000.33
E10295,2025-10-21,Customer Support,Support,15480.77
E10296,2026-05-24,Logistics,Operations,129244.18
E10297,2025-01-19,Customer Support,Support,36167.45
E10298,2026-03-20,Operations,Operations,24293.87
E10299,2026-03-22,Customer Support,Support,58590.06
E10300,2026-03-03,Infrastructure,Technology,57132.08
E10301,2025-12-31,Customer Support,Support,143250.8
E10302,2025-02-17,Technology,Technology,8816.64
E10303,2026-02-01,Technology,Technology,79097.08
E10304,2026-04-05,Logistics,Operations,133008.65
E10305,2025-12-02,Technology,Technology,71790.06
E10306,2026-01-19,Operations,Operations,108376.13
E10307,2025-03-20,Logistics,Operations,16109.11
E10308,2025-09-18,Salaries,HR,84140.74
E10309,2025-11-01,Marketing,Marketing,82794.21
E10310,2025-03-16,Logistics,Operations,109227.28
E10311,2025-12-26,Infrastructure,Technology,27135.9
E10312,2025-12-11,Customer Support,Support,17739.82
E10313,2025-04-17,Salaries,HR,94794.68
E10314,2025-02-23,Operations,Operations,128409.81
E10315,2025-03-12,Infrastructure,Technology,60878.99
E10316,2026-06-24,Logistics,Operations,133527.83
E10317,2025-09-23,Infrastructure,Technology,143231.74
E10318,2025-09-05,Salaries,HR,109498.74
E10319,2025-05-30,Technology,Technology,86261.64
E10320,2026-04-29,Logistics,Operations,57960.61
E10321,2025-12-27,Marketing,Marketing,119762.91
E10322,2025-06-28,Customer Support,Support,2080.77
E10323,2025-11-15,Marketing,Marketing,128503.99
E10324,2025-06-10,Marketing,Marketing,66443.84
E10325,2025-01-16,Operations,Operations,40732.17
E10326,2025-06-03,Marketing,Marketing,127030.88
E10327,2026-01-21,Customer Support,Support,46296.13
E10328,2025-08-07,Marketing,Marketing,7826.52
E10329,2026-03-10,Marketing,Marketing,8203.39
E10330,2025-10-03,Infrastructure,Technology,76434.0
E10331,2025-03-16,Operations,Operations,116451.67
E10332,2025-08-05,Salaries,HR,28820.61
E10333,2025-04-30,Technology,Technology,117569.85
E10334,2025-05-18,Marketing,Marketing,122315.02
E10335,2026-04-09,Salaries,HR,109949.55
E10336,2026-07-20,Logistics,Operations,136036.33
E10337,2025-08-23,Infrastructure,Technology,100418.04
E10338,2026-01-14,Technology,Technology,3698.18
E10339,2026-06-27,Marketing,Marketing,36558.11
E10340,2026-07-12,Operations,Operations,9436.13
E10341,2025-11-29,Salaries,HR,106962.74
E10342,2025-09-26,Logistics,Operations,104502.96
E10343,2026-01-16,Salaries,HR,99971.27
E10344,2025-09-06,Salaries,HR,75412.09
E10345,2025-08-05,Operations,Operations,97958.14
E10346,2026-02-15,Technology,Technology,70425.17
E10347,2025-08-03,Technology,Technology,79893.42
E10348,2025-08-02,Customer Support,Support,78079.47
E10349,2026-05-01,Customer Support,Support,103395.28
E10350,2025-01-12,Technology,Technology,47866.03
E10351,2026-01-31,Operations,Operations,8191.6
E10352,2026-02-21,Salaries,HR,41540.65
E10353,2025-08-24,Customer Support,Support,73891.86
E10354,2025-05-30,Operations,Operations,31638.3
E10355,2025-10-16,Logistics,Operations,88310.85
E10356,2025-05-09,Infrastructure,Technology,108610.15
E10357,2026-02-13,Customer Support,Support,146017.53
E10358,2026-02-24,Customer Support,Support,20704.69
E10359,2026-07-20,Technology,Technology,83741.13
E10360,2025-11-18,Technology,Technology,76394.97
E10361,2025-11-05,Technology,Technology,126833.05
E10362,2025-03-08,Salaries,HR,31688.82
E10363,2025-06-23,Customer Support,Support,63909.08
E10364,2025-01-22,Technology,Technology,69206.9
E10365,2025-07-01,Customer Support,Support,86095.86
E10366,2025-02-07,Infrastructure,Technology,58536.44
E10367,2026-04-12,Logistics,Operations,86906.93
E10368,2025-11-28,Operations,Operations,114433.94
E10369,2025-11-24,Marketing,Marketing,8384.51
E10370,2026-04-21,Technology,Technology,40315.37
E10371,2026-05-30,Marketing,Marketing,2324.78
E10372,2025-04-13,Customer Support,Support,134315.67
E10373,2025-09-29,Technology,Technology,36897.94
E10374,2025-01-16,Infrastructure,Technology,97910.82
E10375,2026-01-17,Infrastructure,Technology,13530.21
E10376,2025-11-11,Operations,Operations,122354.8
E10377,2026-05-05,Infrastructure,Technology,129143.48
E10378,2025-04-15,Infrastructure,Technology,45254.01
E10379,2025-06-17,Infrastructure,Technology,12992.62
E10380,2025-04-22,Operations,Operations,10376.12
E10381,2026-06-21,Customer Support,Support,13787.57
E10382,2026-03-01,Logistics,Operations,53431.96
E10383,2025-05-11,Logistics,Operations,120449.33
E10384,2025-02-23,Infrastructure,Technology,46752.47
E10385,2026-05-23,Infrastructure,Technology,12821.15
E10386,2025-12-01,Customer Support,Support,148878.7
E10387,2025-05-05,Salaries,HR,120153.39
E10388,2025-08-11,Salaries,HR,63068.32
E10389,2025-07-11,Salaries,HR,72374.5
E10390,2026-03-05,Operations,Operations,147370.73
E10391,2025-10-10,Technology,Technology,41715.14
E10392,2025-05-13,Logistics,Operations,69712.93
E10393,2026-07-19,Infrastructure,Technology,119607.75
E10394,2025-12-14,Logistics,Operations,65139.23
E10395,2026-05-12,Marketing,Marketing,4404.82
E10396,2025-04-23,Infrastructure,Technology,61460.14
E10397,2025-05-28,Operations,Operations,51505.74
E10398,2025-11-22,Technology,Technology,145035.23
E10399,2025-03-23,Technology,Technology,34788.42
E10400,2025-02-20,Logistics,Operations,83410.95
E10401,2026-04-09,Logistics,Operations,61277.9
E10402,2026-02-21,Salaries,HR,52939.4
E10403,2025-03-07,Customer Support,Support,118913.87
E10404,2026-01-28,Salaries,HR,123617.12
E10405,2025-11-07,Infrastructure,Technology,138474.32
E10406,2026-07-12,Marketing,Marketing,52023.34
E10407,2026-02-02,Marketing,Marketing,54696.09
E10408,2025-05-26,Salaries,HR,120972.71
E10409,2026-06-22,Salaries,HR,80085.3
E10410,2025-06-22,Marketing,Marketing,37476.06
E10411,2025-05-25,Customer Support,Support,15745.54
E10412,2026-02-18,Salaries,HR,60062.51
E10413,2025-02-22,Infrastructure,Technology,62862.9
E10414,2025-09-27,Technology,Technology,53211.41
E10415,2025-08-17,Technology,Technology,17848.11
E10416,2025-09-02,Infrastructure,Technology,18335.78
E10417,2025-08-04,Customer Support,Support,102010.08
E10418,2025-05-10,Operations,Operations,132930.39
E10419,2025-12-29,Marketing,Marketing,72390.97
E10420,2025-11-05,Marketing,Marketing,79626.84
E10421,2026-04-12,Logistics,Operations,97872.87
E10422,2025-06-25,Logistics,Operations,2947.51
E10423,2025-03-22,Customer Support,Support,8652.96
E10424,2026-06-17,Infrastructure,Technology,112199.5
E10425,2026-03-12,Logistics,Operations,141768.39
E10426,2026-02-03,Operations,Operations,17995.27
E10427,2026-05-12,Technology,Technology,124341.91
E10428,2025-09-29,Marketing,Marketing,79779.01
E10429,2025-08-17,Marketing,Marketing,80965.98
E10430,2025-06-03,Infrastructure,Technology,18417.05
E10431,2026-03-30,Technology,Technology,96290.36
E10432,2025-05-02,Customer Support,Support,8107.34
E10433,2026-02-07,Logistics,Operations,110306.5
E10434,2026-02-21,Marketing,Marketing,28822.14
E10435,2025-02-03,Logistics,Operations,7014.48
E10436,2025-03-18,Operations,Operations,9615.15
E10437,2025-02-20,Customer Support,Support,89084.62
E10438,2025-07-20,Operations,Operations,107850.01
E10439,2026-03-07,Operations,Operations,60676.72
E10440,2025-12-22,Infrastructure,Technology,28332.57
E10441,2026-05-22,Customer Support,Support,7204.51
E10442,2025-09-04,Marketing,Marketing,81525.22
E10443,2025-08-14,Customer Support,Support,27972.87
E10444,2025-12-25,Operations,Operations,101715.12
E10445,2025-02-08,Infrastructure,Technology,111674.68
E10446,2026-05-17,Salaries,HR,10221.43
E10447,2025-09-22,Infrastructure,Technology,135872.54
E10448,2025-11-26,Logistics,Operations,28707.17
E10449,2025-02-28,Salaries,HR,100940.84
E10450,2026-03-19,Logistics,Operations,119070.51
E10451,2025-04-11,Customer Support,Support,9890.93
E10452,2025-06-12,Customer Support,Support,65808.18
E10453,2026-04-25,Salaries,HR,144702.21
E10454,2025-10-21,Customer Support,Support,105575.99
E10455,2025-08-06,Infrastructure,Technology,14605.94
E10456,2026-02-14,Marketing,Marketing,54449.5
E10457,2025-06-25,Technology,Technology,88814.29
E10458,2026-04-10,Logistics,Operations,29305.99
E10459,2025-06-18,Marketing,Marketing,125292.45
E10460,2026-06-21,Customer Support,Support,50317.45
E10461,2026-06-30,Marketing,Marketing,141358.74
E10462,2026-04-24,Customer Support,Support,52496.21
E10463,2026-06-29,Marketing,Marketing,87216.69
E10464,2025-02-25,Operations,Operations,113119.2
E10465,2026-01-17,Operations,Operations,114976.67
E10466,2026-02-11,Operations,Operations,58401.52
E10467,2025-02-10,Salaries,HR,18742.01
E10468,2025-09-07,Infrastructure,Technology,56179.58
E10469,2025-03-31,Marketing,Marketing,71410.12
E10470,2026-02-28,Operations,Operations,126007.62
E10471,2025-06-07,Infrastructure,Technology,31267.49
E10472,2025-06-06,Salaries,HR,38890.66
E10473,2025-11-26,Logistics,Operations,146897.01
E10474,2025-07-09,Customer Support,Support,34753.78
E10475,2026-02-09,Salaries,HR,2048.41
E10476,2025-07-07,Infrastructure,Technology,123829.12
E10477,2025-05-20,Salaries,HR,89864.73
E10478,2025-04-10,Customer Support,Support,94209.83
E10479,2025-02-13,Infrastructure,Technology,120424.65
E10480,2026-06-23,Technology,Technology,24858.9
E10481,2026-02-10,Infrastructure,Technology,104194.54
E10482,2025-01-15,Customer Support,Support,78300.43
E10483,2025-09-11,Logistics,Operations,10941.32
E10484,2026-08-06,Marketing,Marketing,110963.37
E10485,2026-05-14,Technology,Technology,7562.16
E10486,2025-07-01,Salaries,HR,97251.98
E10487,2025-06-10,Salaries,HR,32518.78
E10488,2025-09-09,Technology,Technology,135887.88
E10489,2026-05-27,Marketing,Marketing,11809.46
E10490,2026-05-09,Salaries,HR,72116.13
E10491,2025-05-07,Infrastructure,Technology,149021.82
E10492,2025-03-23,Logistics,Operations,120802.4
E10493,2026-05-10,Salaries,HR,123490.08
E10494,2025-02-24,Salaries,HR,129427.25
E10495,2026-02-25,Technology,Technology,132402.68
E10496,2026-04-16,Logistics,Operations,103471.16
E10497,2026-07-09,Logistics,Operations,145658.18
E10498,2026-07-28,Logistics,Operations,101556.27
E10499,2025-03-09,Logistics,Operations,108096.27
E10500,2026-04-27,Technology,Technology,144829.35
E10501,2025-04-19,Marketing,Marketing,55970.55
E10502,2025-07-09,Technology,Technology,5875.05
E10503,2025-04-19,Operations,Operations,81783.48
E10504,2026-01-10,Salaries,HR,75048.35
E10505,2026-01-07,Customer Support,Support,46925.03
E10506,2026-01-25,Infrastructure,Technology,129958.16
E10507,2025-07-23,Customer Support,Support,42228.44
E10508,2025-03-20,Customer Support,Support,72687.28
E10509,2025-12-22,Salaries,HR,65133.01
E10510,2026-06-08,Technology,Technology,29103.13
E10511,2026-01-19,Marketing,Marketing,116549.06
E10512,2025-01-27,Logistics,Operations,130625.53
E10513,2025-03-03,Operations,Operations,70340.12
E10514,2026-06-12,Marketing,Marketing,30155.11
E10515,2025-10-10,Salaries,HR,87580.06
E10516,2026-03-31,Technology,Technology,29309.89
E10517,2025-09-08,Customer Support,Support,78128.04
E10518,2026-03-24,Technology,Technology,32940.03
E10519,2025-02-26,Technology,Technology,131437.44
E10520,2025-06-25,Logistics,Operations,125828.36
E10521,2026-01-30,Operations,Operations,11547.04
E10522,2025-02-16,Logistics,Operations,65950.62
E10523,2025-05-15,Operations,Operations,27278.31
E10524,2025-05-04,Marketing,Marketing,90472.51
E10525,2026-04-21,Salaries,HR,40541.48
E10526,2025-07-15,Technology,Technology,142409.53
E10527,2025-09-04,Salaries,HR,38161.77
E10528,2026-01-26,Marketing,Marketing,40269.92
E10529,2025-07-25,Customer Support,Support,139097.76
E10530,2026-05-14,Logistics,Operations,103557.76
E10531,2026-07-23,Operations,Operations,103804.31
E10532,2025-02-14,Logistics,Operations,2475.42
E10533,2025-08-15,Logistics,Operations,59058.73
E10534,2026-01-30,Infrastructure,Technology,5553.05
E10535,2025-02-26,Technology,Technology,101587.71
E10536,2026-08-02,Logistics,Operations,91258.27
E10537,2025-04-18,Operations,Operations,88259.16
E10538,2025-07-13,Technology,Technology,120911.73
E10539,2025-02-16,Technology,Technology,93597.59
E10540,2026-07-06,Customer Support,Support,29302.87
E10541,2025-07-15,Logistics,Operations,2952.2
E10542,2026-07-22,Customer Support,Support,102017.73
E10543,2026-07-09,Salaries,HR,80201.25
E10544,2025-02-18,Customer Support,Support,67853.15
E10545,2026-04-03,Operations,Operations,135878.2
E10546,2025-05-22,Salaries,HR,94274.93
E10547,2026-06-02,Customer Support,Support,114069.66
E10548,2026-04-15,Salaries,HR,51275.56
E10549,2026-04-18,Customer Support,Support,130421.22
E10550,2025-12-21,Logistics,Operations,92046.01
E10551,2026-07-05,Operations,Operations,84927.67
E10552,2026-02-01,Marketing,Marketing,6832.5
E10553,2025-11-12,Operations,Operations,89160.88
E10554,2026-05-06,Customer Support,Support,6542.92
E10555,2026-07-10,Infrastructure,Technology,129930.67
E10556,2026-01-29,Infrastructure,Technology,91802.76
