campaign_id,campaign_name,channel,campaign_date,spend,impressions,clicks,leads,conversions
M1049,YouTube Campaign 50,YouTube,2026-03-20,58731.7,350131,19302,5964,1526
M1050,Email Campaign 51,Email,2025-02-24,27018.58,433461,17693,6050,527
M1051,Referral Campaign 52,Referral,2026-06-09,67982.01,669466,12389,3313,761
M1052,YouTube Campaign 53,YouTube,2025-09-23,40554.36,778117,18856,3594,427
M1053,Instagram Campaign 54,Instagram,2026-05-16,13594.66,298806,6443,1596,205
M1054,Referral Campaign 55,Referral,2025-06-08,192473.61,367894,28325,2058,116
M1055,Email Campaign 56,Email,2026-01-31,76509.11,353770,15798,1487,196
M1056,YouTube Campaign 57,YouTube,2026-04-15,185484.82,357164,22240,2928,770
M1057,Email Campaign 58,Email,2025-02-22,111377.84,151638,8653,1119,333
M1058,Instagram Campaign 59,Instagram,2025-10-10,117936.91,593981,11683,2417,268
M1059,Email Campaign 60,Email,2026-06-26,190203.72,695680,51648,7015,1821
M1060,YouTube Campaign 61,YouTube,2025-01-28,78619.44,629899,15272,5282,1549
M1061,Email Campaign 62,Email,2025-02-11,135083.23,534170,21494,3426,1013
M1062,Google Ads Campaign 63,Google Ads,2025-07-07,199231.4,600799,6362,917,157
M1063,Referral Campaign 64,Referral,2025-01-15,189005.15,548352,21303,2448,559
M1064,Referral Campaign 65,Referral,2026-07-10,52312.57,966981,45430,14203,3849
M1065,Google Ads Campaign 66,Google Ads,2025-05-14,130649.88,114152,8404,1871,558
M1066,YouTube Campaign 67,YouTube,2026-05-27,31829.72,469631,11454,1824,313
M1067,Instagram Campaign 68,Instagram,2025-03-01,97476.98,873981,49892,8791,2399
M1068,Email Campaign 69,Email,2026-06-17,188815.35,163587,8968,2426,201
M1069,Google Ads Campaign 70,Google Ads,2026-01-18,157227.67,933739,57412,4293,621
M1070,Instagram Campaign 71,Instagram,2026-01-17,136374.82,232691,13728,1963,224
M1071,Google Ads Campaign 72,Google Ads,2025-03-18,43212.9,375180,17568,5812,1654
M1072,Google Ads Campaign 73,Google Ads,2025-06-18,80868.16,405532,8802,2489,375
M1073,Instagram Campaign 74,Instagram,2026-08-07,37186.85,138634,10673,2873,721
M1074,Email Campaign 75,Email,2025-05-27,10053.95,301015,6297,2104,449
M1075,Referral Campaign 76,Referral,2025-10-28,23888.41,299631,8190,681,143
M1076,YouTube Campaign 77,YouTube,2025-01-04,32947.66,833330,16828,989,167
M1077,YouTube Campaign 78,YouTube,2026-05-04,191529.18,758929,33029,6637,955
M1078,YouTube Campaign 79,YouTube,2026-08-01,11333.44,183901,8787,1930,364
M1079,Email Campaign 80,Email,2026-08-05,172056.6,545982,28868,6310,1246
M1080,Referral Campaign 81,Referral,2026-05-20,37513.18,672679,50407,11246,3029
M1081,Email Campaign 82,Email,2026-03-26,110388.36,40791,1617,287,49
M1082,Instagram Campaign 83,Instagram,2026-07-27,105882.39,796610,33516,6072,722
M1083,Instagram Campaign 84,Instagram,2026-06-11,188929.99,102761,6530,2166,216
M1084,YouTube Campaign 85,YouTube,2025-12-08,52771.49,184837,4239,1061,64
M1085,Email Campaign 86,Email,2025-11-27,77629.49,320767,9590,2100,129
M1086,Google Ads Campaign 87,Google Ads,2025-10-22,94055.39,140494,9145,2981,427
M1087,Email Campaign 88,Email,2025-05-27,47360.1,197006,13086,4398,795
M1088,Instagram Campaign 89,Instagram,2026-08-01,134189.41,245015,12911,3769,391
M1089,Instagram Campaign 90,Instagram,2026-06-12,149514.33,511086,33437,8281,1366
M1090,Google Ads Campaign 91,Google Ads,2025-07-14,130150.37,532966,20537,2535,580
M1091,Google Ads Campaign 92,Google Ads,2025-06-14,43101.23,811072,54834,3409,326
M1092,Google Ads Campaign 93,Google Ads,2025-05-03,143592.52,57673,3306,207,16
M1093,Email Campaign 94,Email,2025-11-19,184168.02,162790,7995,1604,120
M1094,YouTube Campaign 95,YouTube,2025-07-20,43294.73,374759,12330,783,152
M1095,YouTube Campaign 96,YouTube,2025-05-08,23954.64,164531,9534,1808,540
M1096,Referral Campaign 97,Referral,2026-01-01,88753.98,394427,4193,605,106
M1097,YouTube Campaign 98,YouTube,2026-05-16,10926.76,109484,6970,949,106
M1098,Instagram Campaign 99,Instagram,2025-07-16,174879.66,211564,13844,2040,275
M1099,YouTube Campaign 100,YouTube,2026-01-04,116704.86,552781,36845,6164,1397
M1100,Instagram Campaign 101,Instagram,2026-05-09,164200.15,437785,26014,7675,1110
M1101,Instagram Campaign 102,Instagram,2025-08-28,128331.71,165301,2283,777,201
M1102,Email Campaign 103,Email,2025-05-27,87401.1,766617,45844,9855,1286
M1103,Google Ads Campaign 104,Google Ads,2025-03-31,187322.24,709116,25691,2718,446
M1104,Email Campaign 105,Email,2026-03-29,88112.19,967684,37798,6428,537
M1105,Google Ads Campaign 106,Google Ads,2025-04-10,115100.48,649180,26617,7998,2264
M1106,Instagram Campaign 107,Instagram,2025-11-22,105532.96,644665,31124,1913,478
M1107,Email Campaign 108,Email,2025-07-09,77125.33,199195,13817,2008,419
M1108,Instagram Campaign 109,Instagram,2026-05-04,152989.08,659414,46042,6982,1830
M1109,Google Ads Campaign 110,Google Ads,2025-11-07,195587.47,221384,11394,1633,464
M1110,Instagram Campaign 111,Instagram,2025-10-21,150570.91,835619,65689,3729,1058
M1111,Email Campaign 112,Email,2026-07-05,73391.22,23396,327,53,15
M1112,Google Ads Campaign 113,Google Ads,2026-06-04,26378.32,885305,61957,13636,1395
M1113,Email Campaign 114,Email,2025-04-01,188726.4,698700,13995,2061,409
M1114,Referral Campaign 115,Referral,2025-06-03,96786.37,575729,33556,9269,992
M1115,Email Campaign 116,Email,2026-07-26,182815.97,924338,40905,12372,3008
M1116,Google Ads Campaign 117,Google Ads,2026-06-06,170133.53,798626,53879,14489,1103
M1117,Google Ads Campaign 118,Google Ads,2025-11-23,157415.0,878698,35582,8254,2383
M1118,Instagram Campaign 119,Instagram,2025-10-31,182026.72,969821,63807,17866,1472
M1119,YouTube Campaign 120,YouTube,2025-02-25,96482.16,406741,15435,3683,352
M1120,Referral Campaign 121,Referral,2026-07-26,156726.39,972269,57858,11664,635
M1121,YouTube Campaign 122,YouTube,2025-11-18,149919.98,70185,4951,1618,296
M1122,YouTube Campaign 123,YouTube,2025-06-10,51044.62,568684,38987,7066,1208
M1123,Email Campaign 124,Email,2025-09-03,150609.59,749380,46718,15202,1014
M1124,Instagram Campaign 125,Instagram,2026-02-22,12622.93,124385,2975,800,225
M1125,Referral Campaign 126,Referral,2025-04-26,198854.56,322120,10710,2643,277
M1126,YouTube Campaign 127,YouTube,2025-11-07,30151.27,352170,10081,3041,824
M1127,Referral Campaign 128,Referral,2026-02-14,112765.64,937186,26752,1728,296
M1128,Instagram Campaign 129,Instagram,2025-09-07,62641.76,560101,42192,10275,2606
M1129,YouTube Campaign 130,YouTube,2026-01-12,96266.69,244410,11165,619,61
M1130,Instagram Campaign 131,Instagram,2025-03-17,137371.27,97808,3570,1232,90
M1131,Email Campaign 132,Email,2026-03-24,181411.21,361294,25901,6963,548
M1132,Email Campaign 133,Email,2025-10-24,144274.08,596463,20913,3821,455
M1133,Google Ads Campaign 134,Google Ads,2025-03-01,19245.39,665739,13067,1683,114
M1134,YouTube Campaign 135,YouTube,2025-07-01,162603.68,341035,15011,932,138
M1135,Email Campaign 136,Email,2026-02-10,31311.96,237332,12880,3600,289
M1136,Instagram Campaign 137,Instagram,2025-01-31,149990.58,990583,76256,12503,3545
M1137,Referral Campaign 138,Referral,2025-07-08,94882.82,191100,10101,3482,967
M1138,YouTube Campaign 139,YouTube,2025-07-10,79219.09,669571,10216,2647,172
M1139,Referral Campaign 140,Referral,2026-07-01,55053.33,765925,46478,11029,1366
M1140,Google Ads Campaign 141,Google Ads,2025-06-20,38561.99,913328,59507,9258,1481
M1141,Email Campaign 142,Email,2025-05-11,71038.84,997389,31595,5434,1483
M1142,Email Campaign 143,Email,2025-02-23,128643.1,149477,7474,546,66
M1143,Referral Campaign 144,Referral,2025-04-11,172482.31,715550,15741,3056,521
M1144,Email Campaign 145,Email,2025-09-30,154623.49,639755,28918,2950,384
M1145,YouTube Campaign 146,YouTube,2025-03-16,103895.25,359436,20702,2135,256
M1146,Google Ads Campaign 147,Google Ads,2026-05-21,117273.11,953819,75096,16414,2051
M1147,Google Ads Campaign 148,Google Ads,2026-02-07,116091.58,400312,13253,3894,989
M1148,Instagram Campaign 149,Instagram,2025-02-21,163618.13,942904,72470,6607,1389
M1149,Google Ads Campaign 150,Google Ads,2026-06-12,164121.94,485255,24071,4239,529
M1150,Instagram Campaign 151,Instagram,2026-01-29,41593.91,826202,45771,13681,2038
M1151,Referral Campaign 152,Referral,2026-05-05,188017.46,883136,48236,3407,567
M1152,YouTube Campaign 153,YouTube,2026-04-10,117144.31,946940,16856,2547,410
M1153,Instagram Campaign 154,Instagram,2026-02-07,191399.78,941435,37064,12617,3708
M1154,Google Ads Campaign 155,Google Ads,2025-11-10,113896.44,182142,5313,963,281
M1155,YouTube Campaign 156,YouTube,2025-07-17,150018.82,734630,44114,5898,1390
M1156,Instagram Campaign 157,Instagram,2025-09-13,126474.48,981632,18073,3698,379
M1157,Instagram Campaign 158,Instagram,2026-06-22,162850.42,772085,16030,3380,320
M1158,Google Ads Campaign 159,Google Ads,2025-08-29,57305.9,683856,8822,2684,723
M1159,YouTube Campaign 160,YouTube,2025-11-17,122088.3,556880,41663,11594,2176
M1160,Email Campaign 161,Email,2025-07-15,178739.33,816558,9854,1821,133
M1161,Instagram Campaign 162,Instagram,2025-08-07,119451.52,705831,49551,4885,990
M1162,Email Campaign 163,Email,2025-09-26,72494.65,895173,42116,14296,4016
M1163,YouTube Campaign 164,YouTube,2025-04-30,144957.48,304109,21072,2159,375
M1164,Email Campaign 165,Email,2025-05-12,43855.97,26862,800,182,29
M1165,Email Campaign 166,Email,2026-06-30,175933.65,840642,65297,10102,1251
M1166,YouTube Campaign 167,YouTube,2026-05-23,189116.33,848321,58227,17365,3755
M1167,Instagram Campaign 168,Instagram,2025-08-07,61406.4,453478,11569,1434,357
M1168,Email Campaign 169,Email,2025-11-09,47175.54,284250,22157,5867,441
M1169,YouTube Campaign 170,YouTube,2026-03-26,96202.76,405746,4466,1378,310
M1170,Email Campaign 171,Email,2025-07-31,124341.17,655282,35407,5268,490
M1171,Instagram Campaign 172,Instagram,2025-01-13,76647.36,240909,6764,1046,178
M1172,Google Ads Campaign 173,Google Ads,2026-04-05,193578.89,480961,21849,4891,744
M1173,Google Ads Campaign 174,Google Ads,2026-03-09,173488.68,234290,9667,2441,308
M1174,Email Campaign 175,Email,2025-12-20,101993.69,509104,35044,2348,601
M1175,Instagram Campaign 176,Instagram,2026-06-09,42820.11,609309,27649,3098,556
M1176,Instagram Campaign 177,Instagram,2025-12-08,55631.36,201443,12068,1655,182
M1177,Instagram Campaign 178,Instagram,2025-08-04,107407.32,135283,10641,964,210
M1178,Instagram Campaign 179,Instagram,2025-03-16,123357.96,822015,47771,3298,610
M1179,Google Ads Campaign 180,Google Ads,2025-10-10,47248.89,450665,8002,2312,183
M1180,Instagram Campaign 181,Instagram,2026-04-07,98353.2,977951,23735,2820,757
M1181,Google Ads Campaign 182,Google Ads,2025-05-18,178669.52,775116,51943,17492,3314
M1182,Google Ads Campaign 183,Google Ads,2025-04-14,90204.62,302938,13236,4193,721
M1183,YouTube Campaign 184,YouTube,2026-06-29,145473.62,636611,47291,12517,1112
M1184,Email Campaign 185,Email,2025-01-19,28782.58,967839,52637,2728,490
M1185,YouTube Campaign 186,YouTube,2025-04-24,176493.43,115803,1500,373,46
M1186,Instagram Campaign 187,Instagram,2026-04-02,160889.91,189676,5888,722,197
M1187,Email Campaign 188,Email,2025-02-05,77015.01,922975,27671,5476,388
M1188,Google Ads Campaign 189,Google Ads,2025-09-19,21809.5,30861,2247,611,123
M1189,Email Campaign 190,Email,2025-04-11,70278.04,871186,24500,5556,1392
M1190,Instagram Campaign 191,Instagram,2026-01-26,96974.3,321455,6605,1087,162
M1191,YouTube Campaign 192,YouTube,2025-10-09,149643.83,915146,34890,4332,987
M1192,Referral Campaign 193,Referral,2025-08-19,31410.22,39578,1826,567,84
M1193,Referral Campaign 194,Referral,2025-06-18,185502.47,55265,1473,444,82
M1194,YouTube Campaign 195,YouTube,2026-01-21,135775.46,818534,8597,2999,401
M1195,Instagram Campaign 196,Instagram,2026-01-03,123728.65,924051,15794,1399,314
M1196,YouTube Campaign 197,YouTube,2025-08-17,124502.67,108212,7642,1945,295
M1197,Google Ads Campaign 198,Google Ads,2025-07-29,111817.22,206332,11724,1788,191
M1198,Email Campaign 199,Email,2025-10-26,141779.66,800609,17545,4035,855
M1199,YouTube Campaign 200,YouTube,2026-01-03,146837.11,664208,33015,2860,285
