return_id,order_id,customer_id,product_id,return_date,return_reason,refund_amount
R10074,O103704,C101023,P1347,2025-12-14,Damaged Product,10618.44
R10075,O144734,C105751,P1363,2026-01-23,Quality Issue,879.85
R10076,O152841,C100771,P1068,2025-04-01,Quality Issue,8374.88
R10077,O135164,C102043,P1371,2025-11-26,Wrong Product,6450.98
R10078,O113817,C101529,P1415,2026-08-17,Damaged Product,3927.02
R10079,O119485,C109202,P1388,2026-06-16,Changed Mind,20877.28
R10080,O139628,C109343,P1235,2025-06-23,Quality Issue,14617.52
R10081,O136631,C104523,P1329,2026-02-05,Changed Mind,4323.72
R10082,O138990,C108197,P1444,2026-01-12,Changed Mind,5281.32
R10083,O154288,C109823,P1287,2025-09-29,Wrong Product,4756.56
R10084,O126027,C100044,P1193,2025-08-01,Wrong Product,6948.18
R10085,O105805,C106722,P1344,2025-02-04,Wrong Product,10072.28
R10086,O155916,C107055,P1471,2026-05-03,Changed Mind,4983.28
R10087,O143084,C101712,P1202,2025-11-07,Late Delivery,2328.87
R10088,O154177,C105281,P1211,2025-08-24,Changed Mind,24375.6
R10089,O131124,C102396,P1042,2026-06-01,Damaged Product,1144.83
R10090,O123051,C102064,P1044,2026-01-22,Damaged Product,11166.28
R10091,O105020,C100938,P1314,2026-04-09,Quality Issue,6038.97
R10092,O149475,C100133,P1129,2026-04-10,Wrong Product,5178.92
R10093,O156344,C100051,P1218,2026-01-11,Damaged Product,2730.21
R10094,O113286,C109730,P1020,2025-01-26,Quality Issue,24772.62
R10095,O105656,C100171,P1306,2025-07-13,Changed Mind,16983.84
R10096,O146335,C106497,P1371,2025-07-28,Wrong Product,10321.57
R10097,O127756,C102140,P1012,2025-04-04,Late Delivery,4249.58
R10098,O125233,C106282,P1441,2026-07-15,Late Delivery,7370.4
R10099,O117584,C102816,P1236,2025-09-27,Quality Issue,2813.03
R10100,O134700,C105478,P1184,2026-02-20,Changed Mind,3376.32
R10101,O155606,C102838,P1447,2025-07-16,Damaged Product,13572.12
R10102,O120832,C104689,P1459,2026-05-01,Quality Issue,412.9
R10103,O119816,C106605,P1172,2026-05-28,Changed Mind,249.98
R10104,O116685,C103573,P1276,2025-09-08,Damaged Product,6858.4
R10105,O151320,C107633,P1403,2025-11-08,Wrong Product,6692.1
R10106,O114980,C104228,P1090,2026-02-01,Damaged Product,22153.48
R10107,O125950,C106206,P1084,2026-06-23,Late Delivery,1445.11
R10108,O109554,C104441,P1146,2026-06-24,Late Delivery,13610.44
R10109,O144259,C105909,P1111,2026-04-11,Wrong Product,3974.61
R10110,O133588,C103999,P1348,2026-01-01,Wrong Product,1814.23
R10111,O122757,C104519,P1413,2025-12-04,Changed Mind,802.3
R10112,O104612,C102099,P1381,2026-06-30,Damaged Product,1064.67
R10113,O153831,C100923,P1478,2026-05-22,Damaged Product,11759.0
R10114,O105015,C104051,P1177,2026-04-18,Late Delivery,3461.89
R10115,O114186,C106794,P1189,2025-04-27,Damaged Product,1211.35
R10116,O127043,C106156,P1108,2025-12-21,Late Delivery,6844.14
R10117,O131189,C104717,P1046,2026-05-01,Quality Issue,8076.08
R10118,O153336,C101323,P1372,2025-03-31,Late Delivery,4781.06
R10119,O122717,C100866,P1230,2025-03-17,Damaged Product,4254.9
R10120,O112186,C109031,P1403,2025-02-14,Quality Issue,8922.8
R10121,O126826,C108817,P1394,2025-01-29,Wrong Product,8882.36
R10122,O150969,C102677,P1309,2025-12-25,Changed Mind,5841.45
R10123,O109740,C106653,P1170,2025-04-14,Late Delivery,18198.72
R10124,O130209,C102753,P1337,2025-05-15,Changed Mind,10278.78
R10125,O116381,C106956,P1105,2025-12-14,Quality Issue,2683.13
R10126,O134114,C104053,P1130,2025-03-19,Wrong Product,9291.06
R10127,O125715,C101549,P1055,2026-05-08,Changed Mind,19006.96
R10128,O159903,C100335,P1001,2026-01-23,Changed Mind,6886.41
R10129,O129918,C103019,P1024,2026-06-17,Damaged Product,7240.54
R10130,O147906,C109343,P1120,2025-05-31,Late Delivery,6375.36
R10131,O135882,C109154,P1474,2025-02-05,Quality Issue,5596.13
R10132,O141151,C109684,P1246,2026-03-22,Late Delivery,5850.68
R10133,O146232,C107678,P1197,2026-02-01,Wrong Product,9360.26
R10134,O128875,C107126,P1113,2026-08-12,Wrong Product,5529.76
R10135,O104611,C101245,P1181,2025-10-24,Changed Mind,12595.32
R10136,O158505,C102483,P1342,2026-01-23,Late Delivery,4443.0
R10137,O104151,C101188,P1204,2026-06-22,Damaged Product,5821.96
R10138,O113199,C100350,P1437,2025-09-04,Damaged Product,17544.26
R10139,O103306,C101087,P1033,2025-03-22,Late Delivery,10251.31
R10140,O124411,C106329,P1031,2025-01-21,Wrong Product,11476.48
R10141,O136643,C104242,P1482,2025-05-03,Wrong Product,13477.26
R10142,O129388,C105219,P1163,2025-04-22,Quality Issue,12082.16
R10143,O111475,C108977,P1451,2025-02-13,Wrong Product,5332.01
R10144,O110791,C108040,P1246,2025-10-08,Late Delivery,9751.14
R10145,O118781,C104974,P1039,2026-03-18,Late Delivery,7924.5
R10146,O125816,C100405,P1266,2025-04-19,Damaged Product,5360.1
R10147,O114981,C107459,P1224,2026-02-02,Changed Mind,7352.48
R10148,O107255,C108879,P1491,2025-04-10,Changed Mind,8088.23
R10149,O158155,C101940,P1032,2025-07-30,Changed Mind,11308.43
R10150,O134811,C103312,P1225,2026-05-07,Damaged Product,2097.13
R10151,O143670,C100754,P1080,2025-02-04,Changed Mind,12795.7
R10152,O144808,C103321,P1433,2025-06-24,Changed Mind,2193.18
R10153,O150476,C106112,P1405,2026-03-01,Changed Mind,3956.57
R10154,O155411,C104245,P1391,2025-07-29,Late Delivery,23236.14
R10155,O128666,C107961,P1265,2025-08-17,Damaged Product,4324.15
R10156,O109025,C107851,P1036,2025-04-03,Quality Issue,4237.6
R10157,O149021,C105975,P1244,2025-08-31,Quality Issue,4407.77
R10158,O121175,C100846,P1241,2026-06-05,Damaged Product,9059.6
R10159,O136732,C105648,P1097,2026-05-31,Late Delivery,2842.46
R10160,O146770,C106046,P1160,2026-06-17,Wrong Product,17170.68
R10161,O153667,C103136,P1269,2025-11-21,Late Delivery,8306.26
R10162,O146621,C109060,P1425,2025-09-22,Quality Issue,3955.34
R10163,O100474,C103312,P1202,2026-06-28,Wrong Product,2451.44
R10164,O139072,C104885,P1058,2025-12-06,Late Delivery,6157.48
R10165,O115238,C109173,P1218,2025-08-27,Changed Mind,5781.62
R10166,O124067,C106730,P1278,2025-08-14,Damaged Product,15579.03
R10167,O156557,C106116,P1200,2026-08-24,Late Delivery,8711.42
R10168,O157308,C108491,P1093,2025-12-12,Quality Issue,16438.92
R10169,O100989,C104653,P1121,2026-05-26,Changed Mind,7528.19
R10170,O111707,C108838,P1068,2025-06-22,Damaged Product,15702.9
R10171,O127438,C106340,P1484,2026-04-02,Damaged Product,208.61
R10172,O133061,C105324,P1397,2025-09-01,Wrong Product,1494.12
R10173,O150825,C104853,P1210,2026-05-25,Damaged Product,4393.54
R10174,O159504,C102387,P1387,2025-06-25,Quality Issue,6582.3
R10175,O113804,C103225,P1467,2025-09-22,Wrong Product,4275.64
R10176,O135805,C103321,P1114,2025-06-22,Wrong Product,3414.23
R10177,O142212,C104098,P1391,2025-02-23,Changed Mind,11618.07
R10178,O134022,C108697,P1107,2025-09-27,Late Delivery,7696.71
R10179,O116604,C100478,P1170,2025-09-19,Late Delivery,15468.91
R10180,O112115,C106777,P1115,2026-03-09,Changed Mind,929.79
R10181,O134832,C102487,P1367,2026-06-09,Changed Mind,1921.16
R10182,O130652,C107322,P1025,2026-01-10,Wrong Product,3296.48
R10183,O133604,C100274,P1345,2025-07-20,Late Delivery,3195.31
R10184,O110640,C102598,P1010,2025-07-22,Wrong Product,1839.28
R10185,O141674,C103673,P1174,2026-02-05,Changed Mind,375.87
R10186,O152312,C106383,P1257,2026-06-21,Wrong Product,16232.55
R10187,O120841,C103040,P1074,2025-09-14,Damaged Product,2235.37
R10188,O116597,C100494,P1328,2025-05-20,Late Delivery,755.97
R10189,O137340,C105875,P1223,2025-05-12,Late Delivery,1874.16
R10190,O121283,C103229,P1116,2026-02-04,Wrong Product,3310.08
R10191,O141691,C105796,P1484,2026-01-06,Quality Issue,417.22
R10192,O149558,C107465,P1174,2026-06-25,Quality Issue,300.7
R10193,O103166,C105384,P1090,2026-04-17,Changed Mind,5538.37
R10194,O114470,C104622,P1264,2025-05-15,Quality Issue,19137.8
R10195,O146502,C105844,P1373,2025-11-08,Damaged Product,17349.66
R10196,O138895,C107576,P1383,2025-02-25,Changed Mind,11656.85
R10197,O130934,C106216,P1160,2025-10-18,Changed Mind,3648.77
R10198,O105401,C106194,P1307,2025-08-29,Quality Issue,1195.51
R10199,O127924,C102483,P1441,2025-09-14,Late Delivery,1842.6
R10200,O133899,C105185,P1140,2025-04-09,Late Delivery,5897.84
R10201,O153403,C105237,P1124,2025-03-04,Changed Mind,18993.57
R10202,O137006,C104558,P1445,2026-09-03,Quality Issue,14811.52
R10203,O114150,C107073,P1155,2025-10-18,Changed Mind,3143.69
R10204,O109143,C100585,P1352,2026-06-23,Damaged Product,8081.75
R10205,O133815,C103539,P1083,2025-11-19,Late Delivery,11345.08
R10206,O117389,C102616,P1240,2026-03-03,Wrong Product,16328.91
R10207,O130091,C108563,P1117,2026-03-23,Late Delivery,32122.72
R10208,O116765,C101076,P1328,2025-04-10,Late Delivery,2570.3
R10209,O158932,C103854,P1011,2026-03-26,Late Delivery,2459.86
R10210,O146695,C102324,P1126,2025-10-31,Changed Mind,4970.3
R10211,O122291,C103033,P1311,2026-04-17,Wrong Product,6881.08
R10212,O115291,C104912,P1423,2026-05-17,Wrong Product,2542.93
R10213,O129891,C100084,P1228,2025-07-11,Damaged Product,2701.48
R10214,O117655,C107683,P1160,2026-07-07,Quality Issue,7297.54
R10215,O125462,C101291,P1035,2026-01-08,Damaged Product,3065.24
R10216,O134751,C102477,P1445,2025-11-04,Changed Mind,11108.64
R10217,O159186,C100184,P1007,2026-04-20,Changed Mind,9775.02
R10218,O125167,C106344,P1398,2025-10-26,Changed Mind,5337.29
R10219,O145982,C108679,P1075,2025-08-30,Quality Issue,7307.98
R10220,O128653,C109847,P1225,2025-09-04,Late Delivery,1986.76
R10221,O154576,C105472,P1255,2026-07-14,Damaged Product,1039.98
R10222,O144358,C102100,P1304,2026-08-11,Damaged Product,5246.98
R10223,O138387,C108308,P1243,2025-03-03,Wrong Product,12677.04
R10224,O116662,C107283,P1204,2026-01-12,Damaged Product,16546.63
R10225,O135834,C101535,P1482,2025-01-12,Late Delivery,4492.42
R10226,O154299,C102267,P1309,2025-04-03,Late Delivery,7788.59
R10227,O159152,C102981,P1039,2026-07-01,Late Delivery,7484.25
R10228,O141414,C106336,P1083,2026-06-07,Damaged Product,5105.29
R10229,O155269,C107063,P1335,2025-10-31,Late Delivery,4177.17
R10230,O106900,C100691,P1237,2025-10-13,Damaged Product,2757.02
R10231,O115721,C105190,P1232,2025-11-17,Changed Mind,13671.56
R10232,O143828,C103018,P1082,2025-10-07,Late Delivery,4214.95
R10233,O146807,C108353,P1292,2026-02-22,Wrong Product,17499.08
R10234,O104056,C107235,P1210,2026-08-09,Late Delivery,4393.54
R10235,O158582,C107842,P1276,2025-12-24,Changed Mind,6477.37
R10236,O127293,C105111,P1415,2025-03-17,Wrong Product,1377.9
R10237,O147209,C100524,P1267,2025-09-08,Late Delivery,11351.55
R10238,O138510,C107922,P1367,2025-09-12,Wrong Product,1820.04
R10239,O123727,C103276,P1251,2025-02-13,Late Delivery,15534.55
R10240,O100232,C102650,P1262,2025-03-19,Changed Mind,2063.34
R10241,O140650,C107515,P1433,2025-12-19,Late Delivery,2083.52
R10242,O111287,C101670,P1154,2025-06-16,Late Delivery,3160.21
R10243,O126308,C109785,P1390,2025-08-30,Damaged Product,23198.04
R10244,O115608,C104457,P1125,2026-01-01,Late Delivery,2594.39
R10245,O139589,C104781,P1247,2025-08-08,Changed Mind,8027.99
R10246,O155379,C103468,P1340,2025-01-08,Quality Issue,9028.23
R10247,O127959,C108763,P1034,2025-08-02,Changed Mind,14487.16
R10248,O127010,C109087,P1282,2026-07-06,Quality Issue,6130.47
R10249,O140910,C103491,P1312,2026-04-17,Quality Issue,4220.12
R10250,O109924,C100394,P1275,2025-06-20,Quality Issue,7592.06
R10251,O138964,C102793,P1394,2025-09-13,Damaged Product,10449.84
R10252,O144935,C109387,P1311,2026-03-10,Damaged Product,1462.23
R10253,O118862,C103357,P1497,2025-03-11,Changed Mind,22702.28
R10254,O120377,C102709,P1350,2026-01-29,Quality Issue,6699.16
R10255,O121607,C105033,P1391,2026-04-12,Late Delivery,5809.04
R10256,O147356,C101686,P1329,2026-01-30,Late Delivery,4323.72
R10257,O132063,C109672,P1086,2026-08-07,Quality Issue,5763.94
R10258,O132334,C109269,P1492,2026-07-12,Late Delivery,8927.28
R10259,O119688,C108260,P1139,2026-04-14,Quality Issue,10871.34
R10260,O143474,C104973,P1346,2026-07-01,Damaged Product,1620.28
R10261,O134950,C107713,P1183,2025-08-30,Quality Issue,10002.27
R10262,O159307,C101170,P1315,2026-03-02,Late Delivery,15688.92
R10263,O155432,C109407,P1423,2026-06-28,Damaged Product,2825.48
R10264,O133188,C100758,P1487,2025-04-06,Quality Issue,4595.81
R10265,O117344,C100380,P1060,2026-01-08,Quality Issue,10417.49
R10266,O117131,C103759,P1414,2025-03-24,Wrong Product,5640.03
R10267,O136845,C104314,P1465,2026-05-06,Changed Mind,6494.86
R10268,O153442,C106863,P1192,2025-10-11,Damaged Product,3912.21
R10269,O151958,C104913,P1458,2025-11-05,Quality Issue,6620.98
R10270,O138884,C105030,P1344,2025-12-08,Late Delivery,20144.56
R10271,O151008,C109561,P1389,2025-12-28,Wrong Product,3071.75
R10272,O145793,C108224,P1366,2026-06-17,Late Delivery,1935.76
R10273,O101228,C105692,P1015,2026-03-13,Changed Mind,9412.72
R10274,O124301,C102658,P1236,2026-03-11,Changed Mind,6251.18
R10275,O143827,C103300,P1101,2025-10-12,Damaged Product,10726.99
R10276,O143477,C107535,P1293,2025-03-22,Late Delivery,19206.57
R10277,O109599,C102427,P1017,2025-12-10,Quality Issue,6931.14
R10278,O158974,C101957,P1053,2026-04-19,Damaged Product,14240.92
R10279,O145763,C107843,P1434,2025-03-04,Late Delivery,4966.4
R10280,O111587,C100813,P1142,2025-04-23,Late Delivery,15737.58
R10281,O142255,C103283,P1326,2026-04-18,Damaged Product,3707.8
R10282,O109519,C109254,P1216,2025-08-24,Changed Mind,14846.51
R10283,O133753,C106867,P1006,2026-03-11,Wrong Product,6453.67
R10284,O125069,C106786,P1447,2025-08-29,Changed Mind,19227.17
R10285,O130357,C102243,P1447,2025-03-23,Wrong Product,5372.3
R10286,O111189,C105332,P1385,2026-01-05,Changed Mind,2840.06
R10287,O109549,C101672,P1496,2026-06-23,Wrong Product,19428.66
R10288,O154325,C101398,P1496,2025-07-23,Quality Issue,12952.44
R10289,O109548,C103822,P1324,2025-04-29,Wrong Product,1419.03
R10290,O103585,C103944,P1475,2025-08-31,Changed Mind,2879.34
R10291,O107740,C102351,P1167,2026-01-31,Wrong Product,27291.71
R10292,O153087,C104182,P1002,2026-03-25,Damaged Product,17435.88
R10293,O154257,C103810,P1231,2025-08-24,Changed Mind,2218.03
R10294,O126527,C102001,P1123,2025-09-23,Changed Mind,723.19
R10295,O123725,C109372,P1175,2025-12-19,Quality Issue,8228.27
R10296,O146563,C109188,P1171,2025-04-02,Late Delivery,6182.61
R10297,O138660,C106255,P1246,2025-07-18,Wrong Product,5850.68
R10298,O144117,C109101,P1091,2026-06-12,Quality Issue,1557.98
R10299,O117379,C100354,P1493,2025-10-25,Damaged Product,1169.43
R10300,O156133,C103813,P1111,2025-08-11,Quality Issue,3974.61
R10301,O114747,C101344,P1076,2026-05-26,Quality Issue,11254.02
R10302,O101473,C106754,P1195,2026-04-19,Wrong Product,7164.07
R10303,O139409,C103833,P1116,2026-07-28,Quality Issue,8275.2
R10304,O150891,C105370,P1385,2026-01-16,Changed Mind,2414.05
R10305,O151549,C109213,P1081,2026-07-21,Changed Mind,4212.19
R10306,O119073,C100236,P1014,2026-07-06,Wrong Product,6896.68
R10307,O159525,C106564,P1127,2025-05-16,Late Delivery,8985.32
R10308,O122926,C104045,P1093,2025-02-11,Late Delivery,11712.73
R10309,O143026,C101741,P1383,2026-04-01,Quality Issue,13113.95
R10310,O143862,C107604,P1444,2025-05-09,Late Delivery,7041.76
R10311,O109745,C101912,P1489,2026-03-29,Wrong Product,16687.95
R10312,O101552,C101626,P1427,2025-03-27,Damaged Product,7638.36
R10313,O126121,C108092,P1426,2026-07-21,Changed Mind,5679.6
R10314,O158065,C105099,P1108,2025-10-06,Damaged Product,11635.04
R10315,O151899,C103531,P1202,2025-04-30,Late Delivery,1746.65
R10316,O130724,C100322,P1241,2026-05-20,Changed Mind,6794.7
R10317,O122692,C108655,P1070,2026-04-27,Late Delivery,1138.72
R10318,O146096,C106999,P1317,2025-05-22,Late Delivery,20169.58
R10319,O140753,C108856,P1259,2025-09-27,Changed Mind,14933.68
R10320,O145816,C101516,P1288,2025-12-18,Late Delivery,18911.08
R10321,O136205,C109224,P1150,2025-09-20,Quality Issue,14291.29
R10322,O100817,C106574,P1494,2025-12-17,Wrong Product,2985.58
R10323,O134920,C104277,P1446,2026-03-26,Wrong Product,8965.79
R10324,O144478,C103699,P1165,2025-10-04,Quality Issue,476.78
R10325,O102875,C108285,P1382,2025-02-13,Quality Issue,6247.86
R10326,O104485,C100721,P1106,2025-07-01,Changed Mind,11215.99
R10327,O104527,C107049,P1022,2025-11-01,Damaged Product,3500.1
R10328,O117840,C104460,P1274,2025-12-25,Quality Issue,1563.4
R10329,O106360,C102196,P1413,2025-07-24,Changed Mind,2273.2
R10330,O115283,C101613,P1021,2026-07-24,Quality Issue,4507.05
R10331,O159322,C109664,P1180,2026-02-16,Wrong Product,11558.23
R10332,O129901,C108365,P1450,2025-09-20,Late Delivery,25217.6
R10333,O113353,C103854,P1371,2025-02-09,Late Delivery,3225.49
R10334,O114708,C104371,P1230,2025-12-01,Quality Issue,6382.35
R10335,O122729,C107548,P1359,2026-02-24,Late Delivery,10574.7
R10336,O120214,C105379,P1427,2025-11-12,Quality Issue,9738.91
R10337,O108994,C100243,P1294,2025-07-18,Damaged Product,5957.32
R10338,O144693,C108835,P1095,2026-07-05,Late Delivery,1049.45
R10339,O159163,C105226,P1435,2026-04-18,Quality Issue,2450.94
R10340,O144346,C100093,P1224,2025-12-31,Quality Issue,3676.24
R10341,O145460,C107096,P1091,2025-12-25,Late Delivery,3279.96
R10342,O153925,C107266,P1260,2025-02-18,Quality Issue,2741.98
R10343,O100619,C105111,P1428,2025-12-30,Damaged Product,1900.14
R10344,O113361,C108186,P1465,2025-08-25,Wrong Product,9742.29
R10345,O130397,C108705,P1460,2025-05-31,Damaged Product,10643.68
R10346,O109485,C103657,P1065,2025-04-24,Wrong Product,18875.28
R10347,O137673,C102256,P1434,2026-07-05,Quality Issue,7077.12
R10348,O127132,C102202,P1014,2025-06-29,Wrong Product,10818.32
R10349,O147419,C103451,P1156,2025-07-22,Changed Mind,6808.72
R10350,O144850,C103531,P1335,2025-03-19,Changed Mind,7890.21
R10351,O152317,C103968,P1403,2025-09-15,Quality Issue,3569.12
R10352,O100965,C104992,P1187,2025-07-13,Wrong Product,6521.49
R10353,O117167,C100283,P1083,2026-08-31,Quality Issue,5105.29
R10354,O128933,C104586,P1244,2026-02-04,Damaged Product,3489.48
R10355,O159194,C102714,P1491,2026-01-27,Wrong Product,15367.64
R10356,O128900,C102173,P1417,2025-04-06,Late Delivery,7848.17
R10357,O103448,C109038,P1351,2026-03-18,Changed Mind,10932.0
R10358,O121280,C103621,P1346,2025-07-17,Late Delivery,405.07
R10359,O157480,C102036,P1466,2026-06-17,Quality Issue,8772.87
R10360,O144570,C103129,P1019,2026-06-16,Changed Mind,22943.59
R10361,O110059,C100252,P1046,2026-08-29,Damaged Product,5683.17
R10362,O105178,C100032,P1400,2025-12-08,Wrong Product,4212.55
R10363,O118652,C102754,P1451,2026-01-14,Late Delivery,9597.62
R10364,O109902,C107703,P1011,2025-09-26,Late Delivery,4181.76
R10365,O148187,C103068,P1303,2025-08-08,Late Delivery,4244.36
R10366,O149303,C104315,P1023,2026-05-13,Damaged Product,11756.88
R10367,O151794,C105175,P1080,2025-08-02,Wrong Product,6734.58
R10368,O136721,C108875,P1493,2025-11-15,Late Delivery,389.81
R10369,O150642,C104876,P1025,2025-12-15,Late Delivery,10438.87
R10370,O128012,C103188,P1004,2025-08-06,Wrong Product,14285.18
R10371,O127929,C101570,P1379,2025-11-26,Changed Mind,7980.96
R10372,O139489,C102813,P1351,2025-12-07,Wrong Product,9292.2
R10373,O100611,C104646,P1298,2026-04-04,Quality Issue,6855.01
R10374,O119662,C102728,P1229,2025-05-24,Changed Mind,9044.06
R10375,O108888,C105007,P1081,2025-04-16,Wrong Product,4001.58
R10376,O109966,C102512,P1306,2025-02-22,Quality Issue,4033.66
R10377,O120488,C106333,P1342,2025-03-20,Wrong Product,5627.8
R10378,O104743,C104648,P1474,2025-04-24,Damaged Product,4476.9
R10379,O132456,C107525,P1372,2026-04-11,Quality Issue,13588.29
R10380,O118243,C105685,P1070,2025-06-22,Wrong Product,854.04
R10381,O101294,C101293,P1198,2025-04-09,Damaged Product,16746.35
R10382,O138206,C109149,P1232,2026-05-25,Quality Issue,27343.13
R10383,O132100,C109226,P1067,2025-02-16,Changed Mind,15092.25
R10384,O126473,C100574,P1364,2025-02-11,Quality Issue,22463.04
R10385,O141141,C109403,P1407,2026-03-23,Quality Issue,3007.81
R10386,O158378,C106873,P1166,2025-11-29,Damaged Product,4621.03
R10387,O155353,C105153,P1361,2026-06-23,Changed Mind,5821.4
R10388,O114844,C101703,P1364,2026-02-14,Changed Mind,29950.72
R10389,O124943,C108451,P1454,2025-08-06,Late Delivery,12490.24
R10390,O134290,C102234,P1459,2026-03-10,Damaged Product,1238.71
R10391,O131818,C106301,P1419,2026-03-20,Late Delivery,14531.58
R10392,O123254,C100527,P1073,2026-05-11,Changed Mind,5183.15
R10393,O109748,C109162,P1468,2025-05-16,Quality Issue,2353.5
R10394,O119579,C107993,P1203,2025-06-28,Damaged Product,8190.08
R10395,O105345,C103336,P1012,2025-08-26,Damaged Product,1495.22
R10396,O143969,C108016,P1076,2025-12-04,Changed Mind,10691.32
R10397,O149444,C108668,P1246,2025-09-04,Damaged Product,8776.03
